customer_code,customer_name,customer_type,phone,address,area,ward,company,tax_code,dob,last_transaction_date,current_debt,total_sales,status
CUST-0055,Thảo Lê,Cá nhân,(08) 4210 2053,240 Jane Ngõ,Hải Phòng,Phường 16,,,2006-03-27,2026-06-14 01:12:03,0.0,6837000.0,1
CUST-0056,Quý ông Quang Mai,Cá nhân,+84-17-839084,0 Jane Số,TP. Hồ Chí Minh,Phường 13,,,2000-10-21,2026-05-17 17:43:42,0.0,6009000.0,1
CUST-0057,Nhật Dương,Cá nhân,+84 15 9212499,98 Dương Số,Cần Thơ,Phường 10,,,1995-03-31,2026-07-23 10:03:22,0.0,6717000.0,1
CUST-0058,Hải Mai,Cá nhân,+84-36-736 5766,65 Đặng Hẻm,Hà Nội,Phường 22,,,2005-03-27,2025-09-28 17:14:42,0.0,4028000.0,1
CUST-0059,Ông Vũ Trần,Doanh nghiệp,+84 61 5280988,1 Đặng Số,Đà Nẵng,Phường 1,Vũ Công ty Hợp danh,0311822825,1998-11-14,2026-04-21 13:03:29,0.0,5623000.0,1
CUST-0060,Khoa Mai,Doanh nghiệp,(02) 7315 8514,89 Jane Đường,Đồng Nai,Phường 10,Vũ Vũ Doanh nghiệp tư nhân,0314860745,1999-07-12,2026-05-25 16:25:12,0.0,2868000.0,1
CUST-0061,Chị Khoa Bùi,Cá nhân,+84 20 1836675,45 John Hẻm,TP. Hồ Chí Minh,Phường 21,,,1996-03-27,2026-05-01 13:17:20,0.0,6760000.0,1
CUST-0062,Dương Trần,Cá nhân,07 6797 6438,61 Hoàng Dãy,Cần Thơ,Phường 9,,,2002-07-08,2026-07-12 11:25:30,0.0,7331000.0,1
CUST-0063,Hưng Phạm,Cá nhân,09 0034324,10 Bùi Hẻm,Bình Dương,Phường 4,,,1995-10-04,2026-04-28 10:09:51,0.0,5566000.0,1
CUST-0064,Bà Hương Bùi,Cá nhân,(00)607-1596,6 Trần Số,Đà Nẵng,Phường 15,,,1993-11-30,2026-06-26 20:44:30,0.0,5085000.0,1
CUST-0065,Phúc Mai Đặng,Cá nhân,+84 61 3696816,5 Jane Hẻm,Cần Thơ,Phường 12,,,1994-11-10,2026-04-08 15:22:16,0.0,5500000.0,1
CUST-0066,Phương Mai,Cá nhân,(05) 5231 2432,1 Jane Dãy,Hà Nội,Phường 10,,,2006-05-21,2025-09-23 08:36:46,0.0,1468000.0,1
CUST-0067,Bác Dũng Lê,Cá nhân,01 7744905,77 John Tổ,Bình Dương,Phường 14,,,2007-09-13,2026-07-21 12:44:32,0.0,3415000.0,1
CUST-0068,Hải Trần,Cá nhân,+84-98-679807,97 John Dãy,TP. Hồ Chí Minh,Phường 5,,,1995-04-27,2026-06-24 12:21:26,0.0,3462000.0,1
CUST-0069,Vũ Xuân Nguyễn,Cá nhân,(07) 7889 2554,59 Jane Ngõ,Cần Thơ,Phường 17,,,1999-03-02,2026-06-08 07:26:54,0.0,4117000.0,1
CUST-0070,Hạnh Đức Hoàng,Cá nhân,(02)519-2546,1 Mai Số,Đồng Nai,Phường 6,,,2004-07-01,2026-02-27 01:51:30,0.0,1398000.0,1
CUST-0071,Hoàng Quang Bùi,Cá nhân,+84-50-542357,221 Trần Đường,Đồng Nai,Phường 16,,,2004-10-23,2025-08-30 11:55:10,0.0,326000.0,1
CUST-0072,Quý cô Bảo Lê,Cá nhân,(09) 2706 5379,7 John Khu,Bình Dương,Phường 11,,,2009-12-22,2026-07-02 13:37:47,0.0,5663000.0,1
CUST-0073,Anh Quang Hoàng,Cá nhân,07 4688623,07 Mai Ngõ,Hải Phòng,Phường 3,,,2005-08-27,2026-01-18 07:42:52,0.0,3002000.0,1
CUST-0074,Hạnh Trần,Cá nhân,(02)478-2613,06 Jane Tổ,Đồng Nai,Phường 8,,,1997-07-26,2026-06-08 12:01:05,0.0,2738000.0,1
CUST-0075,Thành Phạm,Doanh nghiệp,+84 51 5220472,90 John Khu,Đồng Nai,Phường 18,Lê Mai Công ty Trách nhiệm hữu hạn,0317136687,2003-11-29,2026-04-27 00:49:10,0.0,4206000.0,1
CUST-0076,Hà Thế Phạm,Cá nhân,01 0369 7117,8 John Khu,Đồng Nai,Phường 13,,,2000-11-09,2026-04-02 12:17:46,0.0,7948000.0,1
CUST-0077,Quang Bảo Lê,Cá nhân,+84-18-518 8888,70 Đặng Khu,Đà Nẵng,Phường 18,,,2006-04-07,2026-06-17 13:27:20,0.0,3296000.0,1
CUST-0078,Vũ Phú Phạm,Cá nhân,+84-19-520 5852,7 John Ngõ,Hải Phòng,Phường 12,,,2005-09-24,2026-05-06 15:40:38,0.0,830000.0,1
CUST-0079,Ông Khoa Phạm,Cá nhân,+84 30 5486874,3 Đặng Đường,Cần Thơ,Phường 13,,,2008-04-11,2026-04-20 20:29:58,0.0,2313000.0,1
CUST-0080,Anh Đức Đặng,Cá nhân,06 7652775,616 Jane Tổ,Hà Nội,Phường 22,,,1995-04-22,2025-10-22 20:39:23,0.0,326000.0,1
CUST-0081,Khoa Thế Dương,Cá nhân,+84-62-757059,01 Đặng Hẻm,Hải Phòng,Phường 1,,,2009-10-03,2026-05-07 06:36:19,0.0,3063000.0,1
CUST-0082,Quý cô An Lê,Cá nhân,+84 35 5690927,71 Jane Số,Cần Thơ,Phường 8,,,1998-11-27,2026-03-28 01:09:57,0.0,2920000.0,1
CUST-0083,Quang Trần,Cá nhân,+84 27 8681447,4 Phạm Ngõ,Bình Dương,Phường 15,,,1995-11-13,2026-06-03 06:30:58,0.0,6362000.0,1
CUST-0084,Nhật Lê,Cá nhân,+84-71-551 8844,2 Mai Làng,Bình Dương,Phường 14,,,1995-08-16,2026-03-28 14:14:12,0.0,6129000.0,1
CUST-0085,Chị Mai Dương,Cá nhân,+84 58 9578291,67 Bùi Ngõ,TP. Hồ Chí Minh,Phường 2,,,1995-09-10,2025-12-25 19:00:41,0.0,3092000.0,1
CUST-0086,Vũ Mai Dương,Cá nhân,+84-85-289 2268,824 John Tổ,Đà Nẵng,Phường 16,,,2009-06-13,2026-06-03 13:18:34,0.0,4864000.0,1
CUST-0087,Bà Vân Vũ,Cá nhân,(01)438-4249,2 John Tổ,Hà Nội,Phường 8,,,2007-11-19,2025-09-07 19:02:36,0.0,214000.0,1
CUST-0088,Ánh Nguyễn,Cá nhân,+84 09 4396907,4 Phạm Số,Hải Phòng,Phường 15,,,1998-08-13,2026-06-30 06:21:49,0.0,4687000.0,1
CUST-0089,Nhật Nguyễn,Cá nhân,(07) 6773 5925,5 Lê Tổ,Bình Dương,Phường 24,,,2002-04-25,2026-07-11 00:19:41,0.0,1660000.0,1
CUST-0090,Thành Phạm,Doanh nghiệp,01 4732104,6 John Tổ,Cần Thơ,Phường 24,Phạm và Lê Công ty TNHH MTV,0313592464,2010-06-28,2026-07-03 17:12:02,0.0,1501000.0,1
CUST-0091,Quý ông Khoa Dương,Doanh nghiệp,+84 16 8733950,79 Vũ Đường,Bình Dương,Phường 4,Bùi Công ty Cổ phần,0319209880,2008-07-24,2026-05-19 12:56:20,0.0,2186000.0,1
CUST-0092,Thành Phú Nguyễn,Doanh nghiệp,00 9835841,7 Hoàng Ngõ,Đà Nẵng,Phường 2,Trần Bùi Doanh nghiệp tư nhân,0317216461,2007-01-27,2026-04-27 13:41:57,0.0,3886000.0,1
CUST-0093,Tùng Phú Lê,Cá nhân,(09) 8680 0025,7 John Tổ,Hải Phòng,Phường 15,,,2009-05-23,2026-07-17 07:42:47,0.0,2940000.0,1
CUST-0094,Phúc Hữu Hoàng,Cá nhân,+84-49-588 8794,551 Hoàng Khu,Đồng Nai,Phường 12,,,2007-02-08,2026-06-04 06:38:57,0.0,1403000.0,1
CUST-0095,Duyên Dương,Cá nhân,09 9309 7289,309 John Đường,Bình Dương,Phường 12,,,2001-01-21,2026-02-06 15:48:19,0.0,2878000.0,1
CUST-0096,Bảo Bảo Phạm,Cá nhân,08 9702838,7 Đặng Hẻm,Hà Nội,Phường 13,,,2001-05-17,2026-04-15 03:23:15,0.0,436000.0,1
CUST-0097,Tùng Phú Vũ,Cá nhân,+84-73-348434,3 Đặng Dãy,TP. Hồ Chí Minh,Phường 4,,,1999-06-28,2026-04-02 10:14:18,0.0,6220000.0,1
CUST-0098,Khoa Trần,Doanh nghiệp,+84-86-652404,74 Phạm Làng,Hà Nội,Phường 22,Mai và Vũ Công ty Cổ phần,0314558545,1995-06-02,2026-06-06 04:50:34,0.0,3255000.0,1
CUST-0099,Chị Ngọc Mai,Cá nhân,(03) 0165 7120,77 Jane Tổ,Hà Nội,Phường 11,,,1998-05-31,2026-01-13 23:42:57,0.0,3114000.0,1
CUST-0100,Xuân Trần,Cá nhân,+84-93-802 6206,400 Hoàng Ngõ,TP. Hồ Chí Minh,Phường 19,,,2009-05-05,2026-07-20 22:24:04,0.0,5579000.0,1
CUST-0101,Khoa Mai Mai,Cá nhân,+84-72-874315,7 Lê Đường,Hà Nội,Phường 25,,,2006-01-30,2026-04-03 18:49:06,0.0,2853000.0,1
CUST-0102,Nhiên Phạm,Cá nhân,(09) 6685 1612,53 Jane Số,Cần Thơ,Phường 7,,,1997-07-25,2026-06-30 05:32:00,0.0,3983000.0,1
CUST-0103,Dũng Vũ,Cá nhân,+84-90-453017,684 Jane Tổ,Đà Nẵng,Phường 25,,,2004-01-04,2025-12-17 01:06:09,0.0,1000000.0,1
CUST-0104,Chị Chi Lê,Cá nhân,09 5687833,7 Trần Ngõ,Đồng Nai,Phường 20,,,1994-08-11,2026-06-22 07:06:53,0.0,7154000.0,1
CUST-0105,Chị Lan Đặng,Cá nhân,(08)713-9718,728 Dương Đường,Đà Nẵng,Phường 5,,,2003-01-22,2026-03-03 16:29:07,0.0,2787000.0,1
CUST-0106,Nam Bùi,Cá nhân,00 3910 6518,704 Lê Hẻm,Cần Thơ,Phường 9,,,2006-07-31,2026-04-30 11:11:13,0.0,2320000.0,1
CUST-0107,Thành Hữu Dương,Cá nhân,(06)618-2512,2 John Đường,Hà Nội,Phường 22,,,2010-03-12,2025-12-31 04:01:38,0.0,3020000.0,1
CUST-0108,Quý ông Tùng Bùi,Cá nhân,(03)375-2431,6 John Làng,TP. Hồ Chí Minh,Phường 1,,,1994-09-14,2026-07-22 18:23:10,0.0,9937000.0,1
CUST-0109,Chi Hoàng,Cá nhân,+84-03-067 3830,4 Jane Tổ,Đồng Nai,Phường 8,,,1997-08-02,2026-03-22 06:44:46,0.0,1308000.0,1
CUST-0110,Chị Kim Vũ,Cá nhân,00 8926 8705,5 Bùi Hẻm,Hà Nội,Phường 6,,,1998-08-29,2026-01-18 10:34:03,0.0,4015000.0,1
CUST-0111,Quý cô Lâm Phạm,Cá nhân,02 7086 6882,435 Jane Tổ,Hà Nội,Phường 5,,,1995-02-18,2026-07-04 12:38:38,0.0,453000.0,1
CUST-0112,Cô Thảo Bùi,Doanh nghiệp,+84-99-013 9837,40 John Ngõ,Cần Thơ,Phường 4,Phạm và đối tác Công ty Trách nhiệm hữu hạn,0312066326,2003-11-01,2026-07-20 16:45:49,0.0,7208000.0,1
CUST-0113,Quý cô Xuân Phạm,Doanh nghiệp,+84-54-678544,7 Trần Dãy,Hải Phòng,Phường 25,Phạm và Đặng Doanh nghiệp tư nhân,0317074006,2000-08-06,2026-02-14 07:41:45,0.0,1393000.0,1
CUST-0114,Chị Ngọc Vũ,Cá nhân,+84-99-642353,3 Mai Tổ,Hải Phòng,Phường 17,,,1997-12-07,2026-06-29 22:13:43,0.0,4394000.0,1
CUST-0115,Quý ông Bảo Lê,Cá nhân,+84-52-287 2808,006 John Ngõ,Cần Thơ,Phường 2,,,2005-07-31,2025-08-11 16:55:32,0.0,5033000.0,1
CUST-0116,Mai Mai,Cá nhân,05 0997700,084 Nguyễn Số,Hải Phòng,Phường 21,,,2007-04-07,2026-04-16 12:34:13,0.0,3736000.0,1
CUST-0117,Cô Hà Mai,Cá nhân,(03) 3984 5461,79 John Khu,Hà Nội,Phường 16,,,2005-03-10,2025-11-24 22:21:34,0.0,2471000.0,1
CUST-0118,Hải Nguyễn,Doanh nghiệp,+84 66 6870021,59 John Làng,Hải Phòng,Phường 22,Hoàng Dương Doanh nghiệp tư nhân,0312811298,1994-05-09,2026-02-04 00:42:32,0.0,3856000.0,1
CUST-0119,Hải Vũ,Doanh nghiệp,+84-90-250392,429 Jane Tổ,Bình Dương,Phường 15,Lê và đối tác Tập Đoàn,0312232969,2010-05-13,2026-06-03 11:03:44,0.0,3667000.0,1
CUST-0120,Phương Đặng,Cá nhân,+84 16 3159996,477 Jane Số,Đà Nẵng,Phường 20,,,2000-11-25,2026-03-28 00:57:00,0.0,1395000.0,1
CUST-0121,Hà Thế Phạm,Cá nhân,+84-11-426 2655,047 Vũ Ngõ,Hà Nội,Phường 5,,,1995-10-24,2026-04-09 14:47:25,0.0,5902000.0,1
CUST-0122,Quý cô Nhật Mai,Cá nhân,+84-86-101581,04 Bùi Ngõ,Cần Thơ,Phường 21,,,2005-11-18,2026-07-09 07:31:51,0.0,3624000.0,1
CUST-0123,Chị Dương Bùi,Cá nhân,(02) 4447 2126,47 Jane Khu,Hải Phòng,Phường 20,,,2009-08-11,2026-07-15 19:06:29,0.0,3939000.0,1
CUST-0124,Anh Bảo Trần,Cá nhân,(04) 0659 6575,9 Jane Tổ,Hải Phòng,Phường 17,,,2003-10-25,2026-05-05 11:00:56,0.0,3646000.0,1
CUST-0125,Quý cô Linh Lê,Doanh nghiệp,05 4793564,19 John Đường,Hà Nội,Phường 23,Phạm và đối tác Công ty TNHH MTV,0312919549,2007-02-13,2026-07-15 23:25:52,0.0,1788000.0,1
CUST-0126,Kim Dương,Cá nhân,(04) 3426 6179,6 Mai Đường,Hải Phòng,Phường 15,,,2007-01-01,2026-07-08 05:50:54,0.0,12417000.0,1
CUST-0127,Tùng Quang Trần,Cá nhân,(03)529-0965,014 John Dãy,Hải Phòng,Phường 11,,,1999-12-02,2026-06-15 01:07:10,0.0,2066000.0,1
CUST-0128,Anh Quang Nguyễn,Doanh nghiệp,01 4611254,38 Đặng Dãy,Hải Phòng,Phường 14,Dương Công ty Trách nhiệm hữu hạn,0312595275,2005-05-28,2026-06-01 09:35:19,0.0,11013000.0,1
CUST-0129,Vũ Thế Nguyễn,Cá nhân,(01)051-2382,86 Phạm Số,Hải Phòng,Phường 11,,,2004-04-07,2026-05-04 09:12:56,0.0,6677000.0,1
CUST-0130,Quý cô Kim Nguyễn,Cá nhân,+84-93-796 6033,1 John Tổ,Đà Nẵng,Phường 5,,,1999-02-07,2026-06-21 07:27:42,0.0,3708000.0,1
CUST-0131,Ông Anh Dương,Doanh nghiệp,+84-59-696915,92 Hoàng Ngõ,Hà Nội,Phường 3,Đặng Trần Công ty Cổ phần,0312432176,1998-10-02,2026-05-10 12:14:30,0.0,1364000.0,1
CUST-0132,Bà Nhật Lê,Cá nhân,+84-66-929662,8 John Dãy,Hải Phòng,Phường 4,,,1998-06-21,2026-05-02 00:46:55,0.0,2227000.0,1
CUST-0133,Bà Nhật Hoàng,Cá nhân,+84 50 7236887,7 Dương Dãy,Đồng Nai,Phường 5,,,1996-05-27,2026-06-22 02:28:55,0.0,7555000.0,1
CUST-0134,Vi Phạm,Cá nhân,00 4384 2797,1 Mai Tổ,Cần Thơ,Phường 18,,,2002-10-10,2026-02-09 00:38:12,0.0,3229000.0,1
CUST-0135,Vi Dương,Cá nhân,+84-36-134074,713 Jane Số,Bình Dương,Phường 4,,,1996-05-19,2025-12-19 13:24:07,0.0,2349000.0,1
CUST-0136,Chị Lâm Nguyễn,Doanh nghiệp,+84-58-498254,4 John Số,Đà Nẵng,Phường 22,Vũ Tập Đoàn,0318095702,2004-09-16,2026-04-05 03:54:13,0.0,3792000.0,1
CUST-0137,Chị Bảo Đặng,Cá nhân,(03)672-9466,168 Đặng Dãy,Đà Nẵng,Phường 20,,,2009-09-18,2026-02-20 23:40:47,0.0,3239000.0,1
CUST-0138,Nhiên Văn Trần,Cá nhân,+84-75-186 3637,45 Jane Tổ,Đà Nẵng,Phường 4,,,2008-10-04,2026-03-09 12:21:56,0.0,1721000.0,1
CUST-0139,Ngọc Trần,Cá nhân,+84-70-127 7063,4 Jane Ngõ,TP. Hồ Chí Minh,Phường 22,,,2004-09-08,2026-03-26 23:22:53,0.0,3913000.0,1
CUST-0140,Vũ Đặng,Doanh nghiệp,+84-20-643 6110,12 Jane Đường,TP. Hồ Chí Minh,Phường 4,Đặng Tập Đoàn,0316873938,1995-08-11,2026-05-27 11:26:45,0.0,3152000.0,1
CUST-0141,Nhật Trí Dương,Cá nhân,+84 36 1115542,218 John Dãy,Hà Nội,Phường 25,,,1999-07-13,2026-02-18 16:55:02,0.0,6939000.0,1
CUST-0142,Chị Xuân Bùi,Cá nhân,+84-73-112196,52 Jane Ngõ,Cần Thơ,Phường 8,,,1997-10-11,2026-05-25 05:32:42,0.0,2900000.0,1
